Linha;TIPO.DIA;PICO;FORA.PICO
30;7;15;50
32;7;15;50
33;7;15;50
34;7;30;50
35;7;15;50
50;7;15;50
51;7;15;50
52;7;15;50
61;7;15;50
62;7;15;50
63;7;15;50
64;7;15;50
65;7;15;50
66;7;15;50
67;7;15;50
68;7;15;50
82;7;15;50
85;7;15;50
101;7;20;50
102;7;20;50
103;7;20;50
104;7;15;50
105;7;30;50
107;7;30;50
201;7;30;50
202;7;20;50
203;7;30;50
204;7;30;50
205;7;20;50
206;7;20;50
208;7;20;50
301;7;30;50
302;7;20;50
303;7;20;50
304;7;20;50
305;7;20;50
308;7;20;50
309;7;20;50
310;7;20;50
311;7;20;50
313;7;30;50
314;7;20;50
315;7;20;50
318;7;20;50
319;7;30;50
320;7;20;50
321;7;30;50
325;7;20;50
326;7;20;50
327;7;20;50
328;7;20;50
329;7;20;50
330;7;20;50
331;7;20;50
332;7;20;50
335;7;20;50
336;7;30;50
337;7;20;50
338;7;30;50
340;7;20;50
341;7;20;50
342;7;20;50
401;7;30;50
402;7;30;50
406;7;30;50
503;7;20;50
504;7;20;50
506;7;20;50
507;7;30;50
510;7;20;50
511;7;30;50
533;7;30;50
535;7;30;50
607;7;20;50
608;7;20;50
609;7;20;50
614;7;20;50
615;7;20;50
616;7;20;50
617;7;20;50
618;7;20;50
619;7;20;50
620;7;20;50
621;7;20;50
622;7;20;50
623;7;20;50
624;7;20;50
625;7;20;50
626;7;20;50
627;7;20;50
630;7;30;50
631;7;20;50
633;7;20;50
634;7;20;50
635;7;20;50
636;7;20;50
637;7;20;50
638;7;20;50
639;7;20;50
640;7;20;50
641;7;20;50
642;7;20;50
643;7;20;50
644;7;20;50
645;7;20;50
702;7;20;50
703;7;20;50
705;7;20;50
706;7;20;50
707;7;20;50
708;7;20;50
709;7;20;50
710;7;20;50
711;7;20;50
712;7;20;50
713;7;20;50
714;7;20;50
715;7;20;50
716;7;20;50
717;7;20;50
718;7;20;50
719;7;20;50
732;7;20;50
734;7;30;50
735;7;20;50
736;7;20;50
737;7;20;50
738;7;20;50
739;7;20;50
740;7;30;50
806;7;20;50
807;7;20;50
808;7;20;50
809;7;20;50
810;7;20;50
811;7;20;50
812;7;20;50
813;7;20;50
814;7;20;50
815;7;20;50
821;7;30;50
822;7;30;50
823;7;20;50
825;7;20;50
826;7;30;50
832;7;20;50
836;7;20;50
837;7;20;50
838;7;20;50
901;7;20;50
902;7;30;50
903;7;20;50
1030;7;20;50
1145;7;20;50
1170;7;30;50
1502;7;20;50
1505;7;20;50
1509;7;20;50
1510;7;30;50
2033;7;30;50
2034;7;20;50
2035;7;20;50
2101;7;20;50
2102;7;30;50
2103;7;20;50
2104;7;20;50
2150;7;30;50
2151;7;20;50
2152;7;30;50
3011;7;30;50
3020;7;30;50
3029;7;20;50
3030;7;20;50
3050;7;15;50
3051;7;20;50
3052;7;15;50
3053;7;30;50
3054;7;20;50
3055;7;15;50
3150;7;20;50
3250;7;15;50
3350;7;20;50
3502;7;30;50
4031;7;20;50
4032;7;20;50
4033;7;20;50
4034;7;20;50
4037;7;20;50
4102;7;20;50
4103;7;20;50
4106;7;20;50
4107;7;20;50
4108;7;20;50
4110;7;20;50
4111;7;20;50
4113;7;20;50
4150;7;20;50
4201;7;20;50
4205;7;30;50
4405;7;20;50
4410;7;20;50
4501;7;20;50
5033;7;20;50
5102;7;30;50
5104;7;30;50
5106;7;20;50
5107;7;20;50
5201;7;20;50
5203;7;20;50
5250;7;15;50
5401;7;20;50
5550;7;15;50
6014;7;30;50
6017;7;30;50
6018;7;30;50
6032;7;30;50
6034;7;30;50
6030;7;30;50
6031;7;30;50
6350;7;15;50
7015;7;30;50
8015;7;30;50
8101;7;20;50
8102;7;20;50
8103;7;20;50
8106;7;20;50
8107;7;30;50
8108;7;20;50
8150;7;30;50
8151;7;15;50
8203;7;20;50
8205;7;20;50
8207;7;20;50
8208;7;20;50
8350;7;15;50
8401;7;20;50
8405;7;30;50
8501;7;20;50
8550;7;15;50
8551;7;20;50
9030;7;20;50
9032;7;20;50
9034;7;20;50
9101;7;20;50
9103;7;30;50
9104;7;20;50
9105;7;20;50
9106;7;20;50
9201;7;30;50
9202;7;20;50
9204;7;30;50
9205;7;20;50
9206;7;20;50
9208;7;20;50
9209;7;30;50
9210;7;30;50
9211;7;20;50
9214;7;20;50
9250;7;20;50
9402;7;30;50
9403;7;20;50
9404;7;20;50
9405;7;30;50
9407;7;20;50
9408;7;30;50
9410;7;30;50
9411;7;20;50
9412;7;20;50
9414;7;20;50
9415;7;20;50
9501;7;20;50
9502;7;30;50
9503;7;20;50
9550;7;30;50
9801;7;20;50
9805;7;30;50
1404A;7;20;50
1404C;7;20;50
1505R;7;20;50
3301A;7;20;50
3301B;7;30;50
3302A;7;20;50
3302B;7;20;50
3302D;7;20;50
3501A;7;20;50
3501B;7;30;50
3503A;7;20;50
4403A;7;20;50
4403C;7;30;50
4403D;7;20;50
4801A;7;20;50
4802A;7;20;50
5502C;7;20;50
5503A;7;20;50
5503B;7;20;50
5506A;7;20;50
8001A;7;20;50
83D;7;15;50
83P;7;15;50
SC01A;7;15;50
SC01B;7;15;50
SC01R;7;15;50
SC02A;7;15;50
SC02B;7;30;50
SC03A;7;15;50
SC03B;7;30;50
SC04A;7;15;50
SC04B;7;15;50
SE02;7;30;50
